model,rank,iteration,forward_time_ms,other_cpu_avg_usage,other_cpu_max_usage,contaminated
enformer,1,1,35740.1067,0.05,50.00,False
enformer,1,2,34792.4421,0.09,50.00,False
enformer,1,3,34845.5237,0.08,50.00,False
enformer,1,4,34626.0651,0.01,38.10,False
enformer,1,5,34819.3578,0.01,43.96,False
enformer,1,6,34641.1114,0.06,44.04,False
enformer,1,7,34660.7805,0.07,44.02,False
enformer,1,8,34608.3951,0.04,44.01,False
enformer,1,9,34753.8743,0.03,44.03,False
enformer,1,10,34720.1230,0.01,44.04,False
enformer,1,11,34657.9117,0.01,44.02,False
enformer,1,12,34580.7740,0.03,44.05,False
enformer,1,13,34680.5575,0.03,50.00,False
enformer,1,14,34652.9377,0.03,44.04,False
enformer,1,15,34700.6346,0.01,44.01,False
enformer,1,16,34714.7890,0.16,94.00,False
enformer,1,17,34647.4578,0.11,94.02,False
enformer,1,18,34442.9523,0.12,94.10,False
enformer,1,19,34515.8555,0.11,60.68,False
enformer,1,20,34347.5746,0.08,60.72,False
enformer,2,1,34708.8971,0.03,43.96,False
enformer,2,2,34641.2190,0.01,43.96,False
enformer,2,3,34731.1204,0.00,0.00,False
enformer,2,4,34659.4647,0.01,27.37,False
enformer,2,5,34989.3867,0.07,44.03,False
enformer,2,6,34981.5007,0.07,44.05,False
enformer,2,7,35022.6354,0.08,44.03,False
enformer,2,8,34748.0551,0.08,50.00,False
enformer,2,9,34666.6226,0.05,44.01,False
enformer,2,10,34868.0920,0.04,43.98,False
enformer,2,11,34829.5254,0.00,0.00,False
enformer,2,12,34790.6753,0.06,44.05,False
enformer,2,13,34609.9081,0.00,0.00,False
enformer,2,14,34439.7471,0.00,0.00,False
enformer,2,15,34445.9313,0.00,0.00,False
enformer,2,16,34514.4727,0.00,0.00,False
enformer,2,17,34173.5221,0.00,0.00,False
enformer,2,18,34705.8871,0.00,0.00,False
enformer,2,19,34955.2579,0.01,44.04,False
enformer,2,20,34736.0286,2.66,100.00,False
enformer,4,1,34162.8473,0.16,100.00,False
enformer,4,2,34416.8499,0.15,94.02,False
enformer,4,3,34283.2338,0.12,93.97,False
enformer,4,4,34204.9800,0.01,44.02,False
enformer,4,5,34270.9362,0.03,44.04,False
enformer,4,6,33997.9789,0.00,0.00,False
enformer,4,7,34282.4639,0.00,0.00,False
enformer,4,8,33941.8615,0.00,0.00,False
enformer,4,9,34262.3976,0.00,0.00,False
enformer,4,10,34391.8547,0.04,44.02,False
enformer,4,11,34182.8958,0.01,38.13,False
enformer,4,12,34332.1751,0.01,43.97,False
enformer,4,13,34136.9199,0.01,44.02,False
enformer,4,14,34368.3164,0.01,44.14,False
enformer,4,15,33897.4561,0.03,43.95,False
enformer,4,16,33950.2363,0.04,43.97,False
